layer,x_m,y_m,z_m,injected_outlier,reconstructed_inlier
0,-0.483925179508,0.474849129456,0.335410587166,0,1
1,-0.53262489043,0.417552717582,0.34876155216,0,1
2,-0.573803913193,0.357430487666,0.359718306791,0,1
3,-0.61317460397,0.291507454406,0.375588199334,0,1
4,-0.641495854944,0.221884317588,0.386821777235,0,1
5,-0.665605277281,0.150798798728,0.402631048446,0,1
6,-0.683712185849,0.0792881171053,0.405247633821,0,1
7,-0.694424772963,0.00454450021999,0.42577919016,0,1
8,-0.701682533248,-0.0666107809271,0.43894487573,0,1
9,-0.69769909964,-0.142119967145,0.454714677456,0,1
10,-0.690656510543,-0.216629781516,0.461613655537,0,1
11,-0.675390759549,-0.288352083651,0.475657330957,0,1
12,-0.649902534675,-0.360864826231,0.492531078448,0,1
13,-0.622375972708,-0.430159554252,0.504905500588,0,1
14,-0.586705728581,-0.494040606271,0.516824025767,0,1
15,-0.545626328284,-0.555820959039,0.529983436261,0,1
16,-0.50054838632,-0.615523305365,0.538297037243,0,1
17,-0.450640100826,-0.670552509332,0.548287053923,0,1
18,-0.393769546795,-0.718914770875,0.5646865144,0,1
19,-0.332373618767,-0.762079694963,0.579675600302,0,1
20,-0.27016129204,-0.801624875282,0.589007512165,0,1
21,-0.20258990616,-0.833379588051,0.602164793748,0,1
22,-0.130258861005,-0.860377522921,0.613850779343,0,1
23,-0.0607640339062,-0.879323633111,0.625768170233,0,1
24,0.0131987954482,-0.894265840348,0.641907519646,0,1
25,0.0904261088819,-0.901029554125,0.653758934439,0,1
26,0.162912768955,-0.897652731547,0.663449540016,0,1
27,0.236001515199,-0.893272047875,0.678759460099,0,1
28,0.308288708547,-0.879251480706,0.691300409168,0,1
29,0.383073067954,-0.859742805759,0.701791039857,0,1
30,0.451224017582,-0.83055913351,0.717195652453,0,1
31,0.51666505049,-0.797178803407,0.729699587331,0,1
32,0.579241894857,-0.757875812382,0.739731436886,0,1
33,0.640563626791,-0.711898020886,0.762739802068,0,1
34,0.697418292722,-0.663815426619,0.767956115058,0,1
35,0.745867810805,-0.608725393709,0.780282755266,0,1
36,0.794057256738,-0.549685133392,0.79925652633,0,1
37,0.830947049151,-0.48816101035,0.805280400727,0,1
38,0.864261908005,-0.41862284203,0.822940286727,0,1
39,0.894161386102,-0.354599809196,0.833107725422,0,1
40,0.914000332526,-0.280245265075,0.847605220953,0,1
41,0.927951409773,-0.206776670755,0.857189408013,0,1
42,0.938984436996,-0.134963671535,0.871054692849,0,1
43,0.938001619961,-0.0595108489848,0.887238374402,0,1
44,0.936430809314,0.0141019758091,0.897670585443,0,1
45,0.921956808862,0.0872088038984,0.909158487739,0,1
46,0.904514822139,0.161062475085,0.924153126875,0,1
47,0.879273727486,0.23059308306,0.93512903104,0,1
48,0.847505100718,0.299560388358,0.944147803132,0,1
49,0.81101882196,0.362306315218,0.962867508019,0,1
50,0.769428426139,0.424926446047,0.970858835113,0,1
51,0.719310039655,0.479478295328,0.988040895402,0,1
52,0.664133571882,0.532989410188,0.998923005845,0,1
53,0.608964910251,0.581185566839,1.00721130928,0,1
54,0.547398221201,0.623402000398,1.02326844946,0,1
55,0.479076940912,0.658734798451,1.03853684617,0,1
21,-0.766307977329,0.406986998124,0.764164913437,1,0
12,-0.0272881635755,1.00686338683,-0.191276233755,1,0
42,0.514640088359,-0.754471573379,0.130247985454,1,0
35,1.23521485281,-0.455207951682,0.0853157419029,1,0
54,0.663706298065,-0.352353972535,0.912445378151,1,0
19,-0.292912721597,-0.57278472418,0.649817714023,1,0
2,-0.502963212488,0.928228186167,0.347031935764,1,0
26,-0.139669262937,0.00139781941451,0.559084267581,1,0
43,0.627799384383,1.18414373894,-0.277644620722,1,0
10,-1.24620839991,0.513200186577,0.225976054603,1,0
12,-0.194396481499,-0.978013782045,-0.246279874197,1,0
7,-0.460681656898,-0.377792776656,0.172238428012,1,0
41,-0.416107622158,-0.655330586655,-0.0136923669966,1,0
2,-1.23292462779,-1.10914288485,0.338001053234,1,0
